model,feature,coefficient
L1 Logistic,x_signal_1,1.358836515316457
L1 Logistic,x_signal_2,0.023027814153837752
L1 Logistic,x_protective_1,-0.9133704934050364
L1 Logistic,x_behavior_1,0.9416221882264517
L1 Logistic,x_behavior_2,-0.3927676153666765
L1 Logistic,x_noise_base,0.21832507729839004
L1 Logistic,corr_1,0.0
L1 Logistic,corr_2,0.09358112359792221
L1 Logistic,corr_3,0.28435617514545564
L1 Logistic,corr_4,0.0
L1 Logistic,corr_5,0.32250589630973564
L1 Logistic,corr_6,0.0
L1 Logistic,noise_1,0.0
L1 Logistic,noise_2,-0.040147150661327256
L1 Logistic,noise_3,0.0
L1 Logistic,noise_4,0.007928329067907068
L1 Logistic,noise_5,0.0
L1 Logistic,noise_6,-0.015674543971719888
L1 Logistic,noise_7,0.0
L1 Logistic,noise_8,0.0
L1 Logistic,noise_9,0.0
L1 Logistic,noise_10,0.0
L1 Logistic,noise_11,0.0
L1 Logistic,noise_12,0.0
L1 Logistic,noise_13,-0.1179293765545891
L1 Logistic,noise_14,0.029860877113641632
L1 Logistic,noise_15,0.0
L1 Logistic,noise_16,0.0
L1 Logistic,noise_17,-0.2600413437525306
L1 Logistic,noise_18,0.0
L1 Logistic,noise_19,-0.07252664934816129
L1 Logistic,noise_20,0.0
L2 Logistic,x_signal_1,0.4077817034967527
L2 Logistic,x_signal_2,0.15498393979964703
L2 Logistic,x_protective_1,-0.8618620527900874
L2 Logistic,x_behavior_1,0.8460136910418731
L2 Logistic,x_behavior_2,-0.3191450438566323
L2 Logistic,x_noise_base,0.24653158906186134
L2 Logistic,corr_1,0.2842594210998249
L2 Logistic,corr_2,0.3156907378103533
L2 Logistic,corr_3,0.3593300037824197
L2 Logistic,corr_4,0.14842060392223805
L2 Logistic,corr_5,0.3837602573442522
L2 Logistic,corr_6,0.08014472891934533
L2 Logistic,noise_1,-0.006397758495221556
L2 Logistic,noise_2,-0.09997431133857641
L2 Logistic,noise_3,0.05322925877328352
L2 Logistic,noise_4,0.06036770737162169
L2 Logistic,noise_5,0.027783824981858073
L2 Logistic,noise_6,-0.06648895572981554
L2 Logistic,noise_7,-0.00427664353971316
L2 Logistic,noise_8,-0.0009239688243022101
L2 Logistic,noise_9,0.06956761934747681
L2 Logistic,noise_10,-0.03486980524847934
L2 Logistic,noise_11,-0.04133775586456991
L2 Logistic,noise_12,0.06008607019717905
L2 Logistic,noise_13,-0.16818198797543155
L2 Logistic,noise_14,0.0853591778784794
L2 Logistic,noise_15,0.04627049096034243
L2 Logistic,noise_16,0.023347143900248907
L2 Logistic,noise_17,-0.29897798846723483
L2 Logistic,noise_18,0.009156861021177186
L2 Logistic,noise_19,-0.13736139892885835
L2 Logistic,noise_20,-0.03047024474746315
